1423699849,220116 1730,220202 0924,800.00,800.00,"GAMING PC - RYZEN 5 2600, NVIDIA GEFORCE GTX 1660 TI, 16GB OF RAM",CPU: AMD Ryzen 5 2600 (6 Core Processor) GPU: NVIDIA GeForce GTX 1660 Ti 6GB RAM: 16GB (8GB x 2) G Skill Trident Z RGB DDR4 3200MHz SSD: Kingston A400 SATA Internal SSD - 500GB + Samsung 860 EVO SATA Internal SSD - 1TB PSU: Corsair VS Series VS65
1423563965,220114 1730,220224 0818,875.00,875.00,"Gaming Computer PC Setup Complete Bundle (intel i5 9th, 16GB RAM, 240GB SSD, GTX 1660)",Specifications: Processor: Intel i5 9400f 2.9GHz RAM: 16GB DDR4 Storage: 240GB SSD Graphics: GTX 1660 6GB Power: Thermaltake 700 Watt OS: Windows 10 64 Bit Included: PC Tower 22 inch Monitor (model may vary) Gaming Lightup Mouse (model m
1421761670,220115 1730,220202 0924,400.00,400.00,I7 gaming pc gtx 1660 liquid cooled,"Hello, selling my pc that i have had for a few years has always been looked after when used. selling due to lack of use and could use the money for Christmas. The case is Thermaltake View 37 with 7 rgb lights all togeather with corsair rgb co"
1421679326,220117 1730,220228 0908,815.00,815.00,"Gaming Computer PC (intel i5 9th Gen, 16GB RAM, 240GB SSD, GTX 1660)",Specifications: Processor: Intel i5 9400F 2.9-4.1GHz RAM: 16GB DDR4 Storage: 250GB SSD Graphics: GTX 1660 6GB Nvidia Geforce OS: Windows 10 64 Bit Included: - PC Tower - Kettle Lead Add £15 for a wifi dongle ___________________________
1421518942,220123 1730,220130 1453,750.00,750.00,Gaming pc 1660 TI/ I5 9400F,Gaming Pc description: I have owned this pc for around 2 years now all parts are working Like new and have never been pushed passed there limits reason for selling as recently upgraded Comes with built in PCIE Wifi Card for your convenience and eas
1421422682,220117 1730,220425 1527,825.00,825.00,"HP Gaming Computer PC (Intel i5 9th, 8GB RAM, 250GB SSD, 2TB, GTX 1660)",Specifications: Processor: Intel i5 9400f 2.9-4.1GHz RAM: 8GB DDR4 Storage: 250GB SSD + 2TB HDD Graphics: GTX 1660 6GB Nvidia Geforce Case: HP OS: Windows 10 64 Bit Refurbished Grade A with Box Add £15 for a wifi dongle _______________
1421301030,220123 1730,220204 2348,2700.00,2600.00,5 x 1660 TI / Mining Rig / Mining computer / 150+ MH/s,"Here is my 1660 TI mining rig. Its build to use the least amount of power without losing any MH/s and pulling in maximum profit, it's a lovely mining rig with nothing at all wrong with it and even comes with spare risers and other bits Everything"
1421132197,220118 1730,220405 2316,111.00,100.00,"Wanted gtx 1050 , 1650 , 1660 , 1070 , 2060 , 3060 and similar",Hi looking one of those cards for reasonable price let me know
1423547549,220114 1332,220224 0818,849.00,849.00,"HP Omen 25L Gaming Computer PC (Intel i5 10th, 8GB RAM, GTX 1660 Ti)",Specifications: Processor: Intel i5 10400 2.9GHz RAM: 8GB DDR4 Storage: 250GB SSD + 2TB HDD Graphics: GTX 1660 Ti 6GB Nvidia Geforce Case: HP 25L OS: Windows 10 64 Bit Follow TP Computers On Facebook ⭐⭐⭐⭐⭐ We have been on the market an
1424787690,220130 0950,220130 0950,275.00,275.00,ULTRA FAST i7 Desktop Gaming Computer PC 1TB 16GB RAM GTX 1660 Windows 10,ULTRA FAST i7 Desktop Gaming Computer PC 1TB 16GB RAM GTX 1660 Windows 10 wife prefers her tablet £275 ono
1424754638,220129 1648,220202 0924,625.00,625.00,"Gaming PC - gtx 1660 super 6gb, ryzen 5 1600, 16gb ram, 1tb nvme ssd, windows 10","Windows 10 gaming PC in good condition, working perfectly except the audio from the motherboard doesn't sound correct, so I've been using audio via my monitor which sounds good. With a new nvme ssd drive, new power supply and new case. Graphics c"
1424725284,220129 1453,220129 1453,725.00,725.00,CUSTOM BUILT Gaming PC Ryzen 5 3600 / 16gb Ram / Nvidia GTX 1660 Ti / SSD + HDD Windows 10 Desktop,FOR SALE: - Here we have a very nice and capable 1080p/1440p Gaming PC running a Ryzen 5 3600 CPU combined with a Nvidia GTX 1660ti graphics Card. This system has been built on a Gigabyte Gaming X570 Motherboard using an EVGA G3 750W 80+ Gold PSU giv
1424597262,220127 1453,220225 1223,350.00,350.00,Acer Aspire XC-1660 Desk top Computer complete with wireless keyboard/mouse unused,"PLEASE NOTE MISTAKE WAS MADE WITH ORIGINAL MODEL AND SPECS - PRICE REMAINS THE SAME. Do you need a mini desktop computer to work from home, if so this one could be ideal for you. COMPUTER SPECIFICATIONS AS FOLLOWS - Has been upgraded to Windows"
1424865458,220131 1111,220203 1827,750.00,700.00,"Desktop Gaming PC: Intel i3 Quad Core 3.6GHz, 16 GB RAM, 512 SSD, GTX 1660 Super","Decided to sell my gaming pc as i no longer have time to use it. This PC is amazing, runs all games at high FPS. Parts List: CPU: Intel core i3 10100f quad core 3.6GHz GPU: GTX 1660 Super RAM: 16g Corsair Motherboard: MSI Mag Mortor Cooler"
1399784270,220114 1404,220114 1404,1000.00,1000.00,Custom Gaming PC - GTX 1660 Super,"This is the latest build I have available. Just been recently built using all brand new parts. This PC build consists of intel’s latest 10th Generation processor, along with some great components to get you gaming straight away. The PC comes"
1420450046,220201 0924,220209 1226,850.00,549.00,Custom built PC with Gainward GeForce GTX 1660 TI 6gb Ghost,Custom built PC which was built by CCL Computers for emulation. Brand new. Only removed from box to take photos. Reluctant sale due to personal reasons. Genuine sale. PC specs: Processor - AMD Ryzen 5 3600 (3.6ghz Hexa Core) Memory - Adata XPG Gam
1424912216,220201 0924,220302 0016,599.00,499.00,Gaming PC- Intel i5 10400F 1TB+ 480GB Ssd 16GB RAM GTX 1660 win10 11 months old immaculate,"Bought in lockdown, used twice , immaculate with original box , cost £799"
1425106395,220203 1729,220210 1844,850.00,850.00,"High Spec Gaming PC: Core i5-9600K, GTX 1660 6GB, 1.25TB SSD/HDD, 16GB RAM, RGB Lighting","Brand new in the box with full 1 year warranty one of the latest Coffee Lake generation top 6-Core Unlocked Intel i5 CPU High End Gaming PC - ready for 4K, VR, editing, streaming, support for the latest RAY TRACING technology - Window"
1425093368,220203 1422,220224 0818,850.00,850.00,"Gaming Computer PC Setup - Intel i5 9600, 16GB RAM, 500GB SSD, 1TB HDD, GTX 1660",Specifications: Processor: Intel i5 9600 3.1GHz RAM: 16GB DDR4 Corsair Vengeance Storage: 500GB SSD + 1TB HDD Graphics: GTX 1660 6GB Power: 500 Watt Case: Fusion OS: Windows 10 64 Bit Included: PC Tower 22 inch Monitor (model may vary) G
1422342395,220203 0919,220214 1803,250.00,250.00,ASUS GTX 1660 Super for sale- not overclocked,"Recently upgraded to another Graphics Card for Christmas, used this for less than a year. Works great on all games and a great entry card. Never been overclocked."
1425062036,220202 2329,220216 2342,650.00,650.00,"Gaming PC - Ryzen 6-core, Liquid Cooled, GTX 1660, RGB RAM, 1TB M.2",• AMD Ryzen 5 1600 Six-Core Processor @ 3.4GHz • Deepcool Castle 360 Liquid Cooling (NEW) • MSI B350 Tomahawk Arctic Edition Motherboard • 16GB Corsair Vengeance RGB RAM @3000MHz • 1TB Western Digital Blue M.2 NVMe SSD (NEW) • Zotac GeForce GTX
1425054800,220202 2022,220204 2348,530.00,530.00,"Gaming PC - GTX 1660 Super, Intel i7-4770, 16gb ram, SSD, Windows 10","Windows 10 gaming PC, works perfectly. GPU : Evga SC Ultra GTX 1660 Super 6gb CPU : Intel Core i7-4770 with 4 cores & 8 threads, running at 3.4GHz, up to 3.9GHz turbo automatically Motherboard : Gigabyte H81M-DS2V Memory : 16gb of Crucial 1600m"
1425043714,220202 1827,220303 2248,799.00,799.00,AMD RYZEN 5 1600 6-CORE 3.6GHz & Nvidia GTX 1660 6GB,We are GSC Computers Northern Ireland's Number One Independent Custom PC Retailer 🚚 EXPRESS UK & IRELAND DELIVERY This system is already built and good to go (No Import Fees to Ireland) 🚚 Finance options available via our website System
1425041973,220202 1827,220205 1333,120.00,120.00,GTX 1660 Super,"Has been used but is in really good condition, Can post at the buyers cost. Let me know if you have any questions, thanks."
1425041315,220202 1827,220208 1440,750.00,750.00,"Brand New i5-9400F Gaming PC - GTX 1660 6GB, 16GB DDR4, 500GB M.2 NVMe SSD, RGB lighting",All parts BRAND NEW! The PC comes boxed with FULL 1 YEAR WARRANTY! Free delivery available! Latest model really expensive GeForce GTX 1660 gaming graphics card! This PC will be freshly build just after you place an order typically for next
1425194879,220204 1943,220205 1333,899.00,899.00,BARGAIN GAMING PC i7 10700F RAM16GB GTX 1660 TI SSD512GB VR DESKTOP COMPUTER WORKSTATION,Connect via hdmi with any screen tv monitor or projector. JUST PLUG AND PLAY STRAIGHT AWAY Type Gaming PC Workstation Desktop Server Computer Vr desktop computer can be used as Capable workstation or server machine JUST PLUG AND PLAY STRAIGHT AW
1425180468,220204 1650,220304 1845,869.00,869.00,AMD Ryzen 5 3600 3.6GHz 6-Core & GTX 1660 6GB,We are GSC Computers Northern Ireland's Number One Independent Custom PC Retailer 🚚 EXPRESS UK & IRELAND DELIVERY This system is already built and good to go (No Import Fees to Ireland) 🚚 Finance options available via our website System
1425177530,220204 1552,220304 1845,8000.00,8000.00,487mh Eth mining rig 16 x 1660 super,"487 mh 16 GPU mining rig which consists of 2 x 8 GPU rigs (16 GPU total). Running on HiveOS Each rig motherboard has capacity of 13 GPUs, so you could add up to 26 GPUs total for future expansion. Rig includes: 3 x Veddha 8 GPU rig frames 16 x 1660"
1425125396,220203 2348,220216 2342,750.00,600.00,Gaming Pc GTX 1660 super with gaming monitor,"Decided to sell my gaming pc as i no longer have time to use it. This PC is amazing, runs all games at high FPS. Parts List: CPU: Intel core i3 10100f quad core 3.6GHz GPU: GTX 1660 Super RAM: 16g Corsair Motherboard: MSI Mag Mortor Cooler"
1425229511,220205 1137,220306 1745,750.00,650.00,HP Omen 25L Gaming PC - Intel core i5 GTX 1660 2TB GDD and 256 SSD,"Hi, I am selling my HP Omen Gaming PC. See specs below: Key Features 10th generation Intel® Core™ i5 processor Blast through latest games with the HP OMEN 25L Gaming PC. Equipped with a 10th generation Intel® Core™ i5 processor, you have six-cor"
1425222269,220205 1040,220207 2303,530.00,530.00,"Gaming PC - GTX 1660 Super, Intel i7-4770, 16gb ram, SSD, Windows 10","Windows 10 gaming PC, works perfectly, with some new parts (new SSD and new power supply). GPU : Evga SC Ultra GTX 1660 Super 6gb CPU : Intel Core i7-4770 with 4 cores & 8 threads, running at 3.4GHz, up to 3.9GHz turbo automatically Motherboard"
1425219126,220205 1040,220210 1844,500.00,450.00,Acre Aspire TC-1660 Desktop Pc,Intel core i7-11700 Fast processer Total Cores 8 Total Threads 16 Processor base 2.50 GHz Max turbo frequency 4.90 GHz Cache 16 MB Intel Intel UHD Graphics 750 16GB DDR4 Memory 2TB HardDrive 500 GB Samsung 980 M.2 Running windows 11 27” Samsung Mon
1418872920,220205 0635,220710 1034,1250.00,1250.00,HP Z420 CAD Computer + Intel Xeon E5-1660 V2 + 128gb Ram + 1TB SSD + 8GB Quadro,"When it comes to CAD computers, it is hard to get it right at a good price unless you know what you are doing. IT technicians will go straight by the book and suggest the latest expensive machine on the market, however Design Engineers will will tell"
1425205727,220205 0133,220206 1834,600.00,600.00,FULL GAMING PC SETUP BUNDLE GTX 1660 Ryzen 7 16GB RAM Logitech g920,Selling this racing sim pc setup as I don’t have time for it anymore . Pc works flawlessly boots up in seconds and plays anything you throw at it. CPU: AMD Ryzen 7 2700X Processor Eight cores with Wraith Prism RGB LED Cooler. Same performance as i7
